,equilibrium_temp_k,orbital_period_days,orbital_period_cat,discovery_method,star_radius_sun,star_surface_gravity,star_vmag,dec,dist_from_earth_pc,star_temp_k,planet_radius_earth,star_mass_sun,orbital_eccentricity,planet_mass_earth,ra
3202,-0.004083128400532501,-0.01395313892088796,-0.7538407822473753,0.3993214414473439,-0.07184720667857163,-0.027506673416045044,-1.8457890973489435,0.15203515216525101,-0.5580767449256587,0.48900054946925264,-0.5441528683107131,0.6423509160310942,-0.32208360957734505,-0.3467951278782002,-1.1257815665749147
3203,0.9694412663864436,-0.01395602357702245,0.7597474681023988,0.3993214414473439,-0.2576874166099152,0.8291155782933979,-0.5319785610928439,-0.33928255030883464,-0.5722316727507121,-0.970728182767256,-0.9075376065515124,-1.1054074513367622,-0.178166762983122,-0.3553628861547438,-2.3281201116012338
3204,2.3439388889866817,-0.01395528598299163,0.002953342927511757,0.3993214414473439,0.21423530140316951,-1.2104612114909892,-0.4722226456724337,-0.908825909562116,-0.10086060459732166,0.8795435146061588,2.8970171396481224,1.1548907424339376,-0.08658331515043455,3.08478851389804,-0.8641858276271103
3205,0.6572405040195362,-0.013955618645376568,0.002953342927511757,0.3993214414473439,-0.09969594640334285,-0.03203906628223207,1.0193894944392263,0.6395492535846639,1.0668402916340658,0.34329093791612175,-0.5596055722917107,0.32506435682933416,-0.5183338549331038,-0.3487465221133848,0.7114993863463118
3206,-0.1764150195849152,-0.013954727499446515,0.002953342927511757,0.3993214414473439,-0.16045683307557107,0.3305523630127704,0.5775875623965214,0.5956937495551142,-0.13168886466406793,0.04282924873547134,-0.7086137892513309,-0.016628860772561604,-0.5183338549331038,-0.3519230068998063,0.5517738874419807
3207,-0.14625693862764824,-0.013953908837657764,-0.7538407822473753,0.3993214414473439,-0.11235446446005708,0.05860879104151855,0.5468932670439611,0.7286154401487815,0.2060977793591246,0.3072355352144437,-0.5835204713099214,0.2762510400290633,-0.5183338549331038,-0.34930656350823597,0.6733382796636419
3208,-0.9217504489573703,-0.013944704960080502,-0.7538407822473753,0.3993214414473439,-0.10729105723737138,0.0812707553724557,0.51146421336574,0.7272100753421133,0.0022830888051731434,0.37419556880327437,-0.6405483074302699,0.4715043072301462,-0.5183338549331038,-0.35056665664665115,0.5696089795771723
3209,-0.47799582915758493,-0.013952048939182846,-0.7538407822473753,0.3993214414473439,-0.12248127890542845,0.10393271970339286,0.9077145049650175,0.8747754624838108,0.4519582068664137,0.2625955128218899,-0.5632847875252817,0.17862440642852156,-0.5183338549331038,-0.34883402858133034,0.6819516111557281
3210,-0.9023631111991274,-0.013948432581135895,-0.7538407822473753,0.3993214414473439,-0.14020320418482835,0.1945805770271435,0.8411013533488223,0.8886814406285618,0.1879357965182499,0.15214007279928893,-0.41059735533209046,0.08099777282797985,-0.5183338549331038,-0.34485248428981025,0.6167390951917677
3211,0.4655212750769104,-0.013954146697862073,-0.7538407822473753,0.3993214414473439,-0.22628112697048497,0.6478198636458966,0.9717153761256753,0.6447831170307525,0.2309732521548533,-0.4070048230664167,-0.6957365359338329,-0.7488286127766239,-0.5183338549331038,-0.35167798878955897,0.7057382083823551
3212,1.8075558776752907,-0.013955650956907694,0.002953342927511757,0.3993214414473439,-0.0009595055609720474,-0.4399544242391089,-0.3612007263121088,0.6661089449827213,-0.2569069618692068,0.47606638913499966,-0.9238478804152268,0.7887908664319068,-0.5183338549331038,-0.3555483998667883,0.6889848623718129
3213,-0.5620076261099715,-0.013953534973333718,-0.7538407822473753,0.3993214414473439,-0.1680519439095996,0.37587629167464476,0.49464765793321996,0.6071326306129182,-0.21207583200846036,0.016503081683452443,-0.6846988902331202,-0.016628860772561604,-0.5183338549331038,-0.35146797326648976,0.6808334852351577
3214,-0.23888533013925392,-0.013954207360122622,0.002953342927511757,0.3993214414473439,-0.16045683307557107,0.30789039868183127,0.830978766583616,0.7281010582058678,0.04935837408895054,0.035961552982770754,-0.5853600789267068,-0.06544217757283247,-0.5183338549331038,-0.34935031674220873,0.6966829980208896
3215,0.1790195059828741,-0.013955603042848163,0.002953342927511757,0.3993214414473439,-0.20096409085705655,0.5345100419912089,1.1682894804048385,0.6753468282970428,-0.05363103362821088,-0.370377112385347,-0.7748396634556066,-0.4559487119749991,-0.5183338549331038,-0.3530868429234814,0.6243492534567695
3216,-0.47153338323817057,-0.013953413325290081,-0.7538407822473753,0.3993214414473439,-0.14779831501885685,0.2399045056890198,0.6820787806180039,0.6872661787912119,-0.10357174236205684,0.0983431227364677,-0.6166334084120592,-0.016628860772561604,-0.5183338549331038,-0.35005036848577276,0.7072781976847168
3217,0.8748095166398193,-0.013955227969037335,0.002953342927511757,0.3993214414473439,-0.031339948897086176,-0.32664460258442113,0.2507259703974472,0.7468784632547952,0.11333495490242937,0.4434448343096719,-0.7987545624738173,0.6667575744312296,-0.5183338549331038,-0.35346312073564706,0.6294755014936031
3218,0.6012326393846117,-0.013955263095390535,0.002953342927511757,0.3993214414473439,-0.08956913195797153,-0.05470103061316922,0.3659928454980198,0.72427653562711,0.034696283639434944,0.2740416724097242,-0.8208298538752425,0.39828433202974045,-0.5183338549331038,-0.35379564531383995,0.6275113492319574
3219,-0.1354861954286243,-0.013951175999815825,-0.7538407822473753,0.3993214414473439,0.05726967749991331,-0.598588174555673,0.21741939458934964,0.6163644122656254,0.09708710462825745,0.7307434399643129,-0.4492291152845846,1.2037040592342085,-0.5183338549331038,-0.34590256190515617,0.6792848834260102
3220,-1.4516710143493472,-0.013935056297582946,-1.5106349074222623,0.3993214414473439,-0.20602749807974224,0.557172006322146,1.0850230408845951,0.750596570912828,-0.18124262159886914,-0.4316140661802605,-0.5743224332259942,-0.50476202877527,-0.5183338549331038,-0.34909654798516676,0.673148888512201
3221,0.49567935603417734,-0.013954993035852764,0.002953342927511757,0.3993214414473439,-0.12754468612811415,0.12659468403433202,1.0944925575359168,0.7626151664707056,1.081839830454177,0.20364779094454327,-0.6331898769631281,0.15421774802838614,-0.5183338549331038,-0.3504091450043492,0.5690948472848093
3222,-0.4198338158828558,-0.013953142027361995,-0.7538407822473753,0.3993214414473439,-0.14020320418482835,0.17191861269620634,0.9864094536880712,0.6797594275115967,0.6501369320914225,0.16015238451077293,-0.5412094961238564,0.05659111442784442,-0.5183338549331038,-0.3483089897736573,0.7066263089190254
