,planet_radius_earth,planet_mass_earth,orbital_period_days,equilibrium_temp_k,orbital_period_cat,dec,disc_facility,orbital_eccentricity,discovery_method,star_radius_sun
0,-0.7471558955344455,-0.33067149959934533,-0.15289293077279065,1.1108095700386535,0.07798028766105744,0.7869097044823803,-0.4495681206970679,-0.4943506068784331,0.3713104044954582,-0.33259429259075945
1,-0.433211907270777,-0.32176282648501753,-0.14912852107852076,-0.12459571251861916,0.07798028766105744,0.5461197383359727,-0.4495681206970679,-0.4943506068784331,0.3713104044954582,-0.21381606637292286
2,-0.9242489560502295,-0.33442801007945144,-0.15012026164101144,0.42594140092045063,0.07798028766105744,0.5648187235966218,-0.4495681206970679,-0.4943506068784331,0.3713104044954582,0.035235053116089314
3,-0.46692072285012814,-0.3228419389753129,-0.1517533974928463,1.6305166051251354,0.07798028766105744,0.6715905287806468,-0.4495681206970679,-0.4943506068784331,0.3713104044954582,0.479695512511865
4,-0.19629827241703005,-0.3125304196236011,-0.12382433369168139,-1.0913388837176257,-0.7384369892491541,0.8837794909975082,-0.4495681206970679,-0.4943506068784331,0.3713104044954582,-0.27818620187162146
5,-0.6887735678918795,-0.3293166139170855,-0.15089576142132485,0.38189843184532507,0.07798028766105744,0.6355568088990935,-0.4495681206970679,-0.4943506068784331,0.3713104044954582,-0.22837597797381895
6,-0.6284451626612277,-0.3277698860143287,-0.14759897427594715,-0.549610364093581,-0.7384369892491541,0.7007616372323184,-0.4495681206970679,-0.4943506068784331,0.3713104044954582,-0.32493118122186676
7,-0.5992539988399447,-0.3269665467159976,-0.1285640557063082,-1.164009782691583,-0.7384369892491541,0.5089324488293205,-0.4495681206970679,-0.4943506068784331,0.3713104044954582,-0.30577340279963505
8,-0.5992539988399447,-0.3269665467159976,-0.11071875794406354,-1.148594743515289,-0.7384369892491541,0.7313809920198029,-0.4495681206970679,-0.4943506068784331,0.3713104044954582,-0.2099845106884765
9,1.0802109596778742,-0.23205968230700533,-0.15005716930088192,-0.03210547746085544,0.07798028766105744,-0.849656889784902,-0.31282038763905107,0.29037789244722345,-0.4877768759253214,-0.07204850604840816
10,0.2823191485628038,-0.2961039294935485,-0.1492599099972795,-0.2985654403653652,0.07798028766105744,-0.5057853591988767,-0.8598113198711185,0.932428482804579,0.3713104044954582,-0.2789525130085107
11,-0.74520981794636,-0.33062353904422104,-0.1437168811978384,-1.3577988466221356,-0.7384369892491541,0.7134573871215496,-0.4495681206970679,0.7184116193521272,0.3713104044954582,-0.6544449700842521
12,-0.5369795160212074,-0.3251200653437144,-0.1468239525151298,-0.3976621207843978,-0.7384369892491541,0.5899991635315587,-0.4495681206970679,-0.4943506068784331,0.3713104044954582,-0.18776148771868778
13,-0.4902736539071546,-0.323645278273644,-0.14837161674655375,0.03616112460558922,0.07798028766105744,0.6997449428736306,-0.4495681206970679,-0.4943506068784331,0.3713104044954582,-0.17166895384401315
14,0.6773728989441677,-0.26277134368220095,-0.1513247883674329,0.4611757761805511,0.07798028766105744,0.5526849855662049,-0.4495681206970679,-0.4943506068784331,0.3713104044954582,-0.1180271742617643
15,-0.35599430032925244,-0.3188851931775631,-0.11788489074117754,-0.9239756012321485,-0.7384369892491541,0.7600252263638099,-0.4495681206970679,-0.4943506068784331,0.3713104044954582,0.027571941747196627
16,-0.3456800891123991,-0.3047368294159119,-0.14328212989684702,-0.5848447393536815,-0.7384369892491541,-0.47594501658978544,-0.8598113198711185,1.7171569821302355,0.3713104044954582,-0.1747341983915702
17,-0.5661706798424905,-0.32600733561351286,-0.15090022066033787,0.13966210193213435,0.07798028766105744,0.8342568798291772,-0.4495681206970679,-0.4943506068784331,0.3713104044954582,-0.21764762205736918
18,-0.5428177487854642,-0.3252999174254303,-0.12822035334503207,-0.928379898139661,-0.7384369892491541,0.6041947189161407,-0.4495681206970679,-0.4943506068784331,0.3713104044954582,-0.1869951765817985
19,-0.6498520161301686,-0.32833342253703857,-0.14696979236267108,0.07579979677320224,-0.7384369892491541,-0.06880161281263364,-0.8598113198711185,-0.494350606878433,0.3713104044954582,0.11186616680501621
20,-0.7019942226336074,-0.3296403476641741,-0.14958767277724483,-0.28315040118907125,0.07798028766105744,0.5424220802319089,-0.4495681206970679,-0.4943506068784331,0.3713104044954582,-0.26822415709206093
21,-0.5486559815497207,-0.33062353904422104,-0.1481469607958022,-0.44610938676703593,-0.7384369892491541,0.7633360837110018,-0.4495681206970679,-0.4943506068784331,0.3713104044954582,-0.27818620187162146
22,-0.6342833954254844,-0.3279257578184825,-0.14581310943435227,-0.28755469809658385,-0.7384369892491541,0.567689639828602,-0.4495681206970679,-0.4943506068784331,0.3713104044954582,-0.10270095152397893
23,-0.5797932229590893,-0.3264030101932878,-0.04057577775829087,-1.3842246280672108,-1.5548542661593656,0.5508845628840865,-0.4495681206970679,-0.4943506068784331,0.3713104044954582,-0.2636262902707253
24,-0.6926657230680504,-0.329412535027334,-0.14491454221459588,-0.9239756012321485,-0.7384369892491541,-0.8569178288011142,-0.8598113198711185,0.27611010155039334,0.3713104044954582,-0.37397509398278
25,-0.7996999904127551,-0.3317506120896407,-0.15146090705457982,0.46998436999557625,0.07798028766105744,0.7171162729133295,-0.4495681206970679,-0.4943506068784331,0.3713104044954582,-0.13335339699954968
26,-0.8619744732314922,-0.33320141888214905,-0.15197011679759853,2.4276943453849085,0.07798028766105744,0.6197834284859247,-0.4495681206970679,-0.4943506068784331,0.3713104044954582,0.08121372132944546
27,-0.8033975378301175,-0.33040771654616197,-0.14554311254039815,0.11764061739457154,-0.7384369892491541,0.6849629768542798,-0.4495681206970679,-0.4943506068784331,0.3713104044954582,0.36398253084158544
28,-0.7996999904127551,-0.3317506120896407,-0.15113364631008977,0.2828017514262925,0.07798028766105744,0.6652119590888064,-0.4495681206970679,-0.4943506068784331,0.3713104044954582,-0.271289401639618
29,-0.37350899862202236,-0.31960460150442666,-0.1445330471103994,-0.46813087130459874,-0.7384369892491541,0.751177683371497,-0.4495681206970679,-0.4943506068784331,0.3713104044954582,-0.13335339699954968
